round,prediction,actual,result,bet,profit,balance
258,閒,閒,贏,100,100.0,-195.0
259,莊,和,和局,0,0.0,-195.0
260,莊,莊,贏,100,95.0,-100.0
261,閒,莊,輸,100,-100.0,-200.0
262,閒,閒,贏,100,100.0,-100.0
263,莊,閒,輸,100,-100.0,-200.0
264,莊,閒,輸,100,-100.0,-300.0
265,莊,莊,贏,100,95.0,-205.0
266,閒,閒,贏,100,100.0,-105.0
267,莊,莊,贏,100,95.0,-10.0
268,閒,閒,贏,100,100.0,90.0
269,莊,莊,贏,100,95.0,185.0
270,閒,和,和局,0,0.0,185.0
271,閒,莊,輸,100,-100.0,85.0
272,閒,閒,贏,100,100.0,185.0
273,莊,莊,贏,100,95.0,280.0
274,閒,莊,輸,100,-100.0,180.0
275,閒,閒,贏,100,100.0,280.0
276,莊,莊,贏,100,95.0,375.0
277,閒,莊,輸,100,-100.0,275.0
278,閒,莊,輸,100,-100.0,175.0
279,閒,莊,輸,100,-100.0,75.0
280,閒,閒,贏,100,100.0,175.0
281,莊,莊,贏,100,95.0,270.0
282,閒,閒,贏,100,100.0,370.0
