round,prediction,actual,result,bet,profit,balance
259,莊,和,和局,0,0.0,-755.0
260,莊,莊,贏,100,95.0,-660.0
261,莊,莊,贏,100,95.0,-565.0
262,莊,閒,輸,100,-100.0,-665.0
263,莊,閒,輸,100,-100.0,-765.0
264,閒,閒,贏,100,100.0,-665.0
265,閒,莊,輸,100,-100.0,-765.0
266,莊,閒,輸,100,-100.0,-865.0
267,莊,莊,贏,100,95.0,-770.0
268,莊,閒,輸,100,-100.0,-870.0
269,莊,莊,贏,100,95.0,-775.0
270,莊,和,和局,0,0.0,-775.0
271,莊,莊,贏,100,95.0,-680.0
272,莊,閒,輸,100,-100.0,-780.0
273,莊,莊,贏,100,95.0,-685.0
274,莊,莊,贏,100,95.0,-590.0
275,莊,閒,輸,100,-100.0,-690.0
276,莊,莊,贏,100,95.0,-595.0
277,莊,莊,贏,100,95.0,-500.0
278,莊,莊,贏,100,95.0,-405.0
279,莊,莊,贏,100,95.0,-310.0
280,莊,閒,輸,100,-100.0,-410.0
281,莊,莊,贏,100,95.0,-315.0
282,莊,閒,輸,100,-100.0,-415.0
283,莊,莊,贏,100,95.0,-320.0
284,莊,閒,輸,100,-100.0,-420.0
285,莊,莊,贏,100,95.0,-325.0
286,莊,閒,輸,100,-100.0,-425.0
287,莊,莊,贏,100,95.0,-330.0
288,莊,和,和局,0,0.0,-330.0
289,莊,莊,贏,100,95.0,-235.0
290,莊,閒,輸,100,-100.0,-335.0
291,莊,莊,贏,100,95.0,-240.0
292,莊,莊,贏,100,95.0,-145.0
293,莊,莊,贏,100,95.0,-50.0
294,莊,莊,贏,100,95.0,45.0
295,莊,莊,贏,100,95.0,140.0
296,莊,閒,輸,100,-100.0,40.0
297,莊,莊,贏,100,95.0,135.0
298,莊,閒,輸,100,-100.0,35.0
299,莊,莊,贏,100,95.0,130.0
300,莊,莊,贏,100,95.0,225.0
301,莊,閒,輸,100,-100.0,125.0
302,莊,閒,輸,100,-100.0,25.0
303,閒,莊,輸,100,-100.0,-75.0
304,莊,閒,輸,100,-100.0,-175.0
